Country,Total Revenue,,,Order Year,Total Revenue
United States," $2,297,200.86 ",,,2011," $2,259,450.90 "
Australia," $925,235.85 ",,,2012," $2,677,438.69 "
France," $858,931.08 ",,,2013," $3,405,746.45 "
China," $700,562.03 ",,,2014," $4,299,865.87 "
Germany," $628,840.03 ",,,Grand Total," $12,642,501.91 "
Mexico," $622,590.62 ",,,,
India," $589,650.10 ",,,Category,Total Profit
United Kingdom," $528,576.30 ",,,Furniture," $285,204.72 "
Indonesia," $404,887.50 ",,,Office Supplies," $518,473.83 "
Brazil," $361,106.42 ",,,Technology," $663,778.73 "
Grand Total," $7,917,580.79 ",,,Grand Total," $1,467,457.29 "
